[2025-04-20 13:07:28,479] INFO: {
[2025-04-20 13:08:25,097] INFO: 	 lr: 0.0005000000000000003 	 Training loss: 0.05541628308594227
[2025-04-20 13:08:39,102] INFO: Iter 500 Summary: 
[2025-04-20 13:08:39,103] INFO: 	 lr: 0.0005000000000000003 	 Training loss: 0.05279893688857555
[2025-04-20 13:08:52,901] INFO: Iter 600 Summary: 
[2025-04-20 13:08:52,901] INFO: 	 lr: 0.0005000000000000003 	 Training loss: 0.052031238563358784
[2025-04-20 13:09:06,507] INFO: Iter 700 Summary: 
[2025-04-20 13:09:06,507] INFO: 	 lr: 0.0005000000000000003 	 Training loss: 0.05099576439708471
[2025-04-20 13:09:20,370] INFO: Iter 800 Summary: 
[2025-04-20 13:09:20,370] INFO: 	 lr: 0.0005000000000000003 	 Training loss: 0.05101605579257011
[2025-04-20 13:09:34,253] INFO: Iter 900 Summary: 
[2025-04-20 13:09:34,254] INFO: 	 lr: 0.0005000000000000003 	 Training loss: 0.04953210841864347
[2025-04-20 13:09:53,096] INFO: Iter 100 Summary: 
[2025-04-20 13:09:53,097] INFO: 	 lr: 0.0005000000000000003 	 Training loss: 0.04913212765008211
[2025-04-20 13:10:07,224] INFO: Iter 200 Summary: 
[2025-04-20 13:10:07,224] INFO: 	 lr: 0.0005000000000000003 	 Training loss: 0.04806329473853111
[2025-04-20 13:10:21,151] INFO: Iter 300 Summary: 
[2025-04-20 13:10:21,151] INFO: 	 lr: 0.0005000000000000003 	 Training loss: 0.047972292564809324
[2025-04-20 13:10:34,894] INFO: Iter 400 Summary: 
[2025-04-20 13:10:34,894] INFO: 	 lr: 0.0005000000000000003 	 Training loss: 0.04720225345343351
[2025-04-20 13:10:48,728] INFO: Iter 500 Summary: 
[2025-04-20 13:10:48,728] INFO: 	 lr: 0.0005000000000000003 	 Training loss: 0.04606287021189928
[2025-04-20 13:11:02,364] INFO: Iter 600 Summary: 
[2025-04-20 13:11:02,364] INFO: 	 lr: 0.0005000000000000003 	 Training loss: 0.04632997430860996
[2025-04-20 13:11:16,197] INFO: Iter 700 Summary: 
[2025-04-20 13:11:16,198] INFO: 	 lr: 0.0005000000000000003 	 Training loss: 0.04574978865683079
[2025-04-20 13:11:30,294] INFO: Iter 800 Summary: 
[2025-04-20 13:11:30,294] INFO: 	 lr: 0.0005000000000000003 	 Training loss: 0.04564894638955593
[2025-04-20 13:11:44,181] INFO: Iter 900 Summary: 
[2025-04-20 13:11:44,181] INFO: 	 lr: 0.0005000000000000003 	 Training loss: 0.04536911107599735
[2025-04-20 13:11:57,811] INFO: Iter 1000 Summary: 
[2025-04-20 13:11:57,811] INFO: 	 lr: 0.0005000000000000003 	 Training loss: 0.045735574662685394
[2025-04-20 13:12:12,287] INFO: Iter 1100 Summary: 
[2025-04-20 13:12:12,287] INFO: 	 lr: 0.0005000000000000003 	 Training loss: 0.04501061618328094
[2025-04-20 13:12:26,925] INFO: Iter 1200 Summary: 
[2025-04-20 13:12:26,925] INFO: 	 lr: 0.0005000000000000003 	 Training loss: 0.044797933213412765
[2025-04-20 13:12:40,865] INFO: Iter 1300 Summary: 
[2025-04-20 13:12:40,865] INFO: 	 lr: 0.0005000000000000003 	 Training loss: 0.04455008685588837
[2025-04-20 13:12:54,402] INFO: Iter 1400 Summary: 
[2025-04-20 13:12:54,402] INFO: 	 lr: 0.0005000000000000003 	 Training loss: 0.044514666125178334
[2025-04-20 13:13:07,945] INFO: Iter 1500 Summary: 
[2025-04-20 13:13:07,946] INFO: 	 lr: 0.0005000000000000003 	 Training loss: 0.04412198856472969
[2025-04-20 13:13:22,155] INFO: Iter 1600 Summary: 
[2025-04-20 13:13:22,156] INFO: 	 lr: 0.0005000000000000003 	 Training loss: 0.04414647053927183
[2025-04-20 13:13:35,874] INFO: Iter 1700 Summary: 
[2025-04-20 13:13:35,874] INFO: 	 lr: 0.0005000000000000003 	 Training loss: 0.04407645646482706
[2025-04-20 13:13:49,802] INFO: Iter 1800 Summary: 
[2025-04-20 13:13:49,802] INFO: 	 lr: 0.0005000000000000003 	 Training loss: 0.04390536028891802
[2025-04-20 13:14:03,676] INFO: Iter 1900 Summary: 
[2025-04-20 13:14:03,676] INFO: 	 lr: 0.0005000000000000003 	 Training loss: 0.04386868067085743
[2025-04-20 13:14:16,788] INFO: Iter 2000 Summary: 
[2025-04-20 13:14:16,789] INFO: 	 lr: 0.0005000000000000003 	 Training loss: 0.0440736286714673
[2025-04-20 13:14:30,227] INFO: Iter 2100 Summary: 
[2025-04-20 13:14:30,227] INFO: 	 lr: 0.0005000000000000003 	 Training loss: 0.043611681833863256
[2025-04-20 13:14:43,800] INFO: Iter 2200 Summary: 
[2025-04-20 13:14:43,801] INFO: 	 lr: 0.0005000000000000003 	 Training loss: 0.04352688279002905
[2025-04-20 13:14:57,238] INFO: Iter 2300 Summary: 
[2025-04-20 13:14:57,239] INFO: 	 lr: 0.0005000000000000003 	 Training loss: 0.04346940122544765
[2025-04-20 13:15:10,691] INFO: Iter 2400 Summary: 
[2025-04-20 13:15:10,692] INFO: 	 lr: 0.0005000000000000003 	 Training loss: 0.0435893863812089
[2025-04-20 13:15:24,644] INFO: Iter 2500 Summary: 
[2025-04-20 13:15:24,645] INFO: 	 lr: 0.0005000000000000003 	 Training loss: 0.04308565769344568
[2025-04-20 13:15:39,477] INFO: Iter 2600 Summary: 
[2025-04-20 13:15:39,477] INFO: 	 lr: 0.0005000000000000003 	 Training loss: 0.04284344516694546
[2025-04-20 13:15:54,207] INFO: Iter 2700 Summary: 
[2025-04-20 13:15:54,207] INFO: 	 lr: 0.0005000000000000003 	 Training loss: 0.04357896067202091
[2025-04-20 13:16:09,557] INFO: Iter 2800 Summary: 
[2025-04-20 13:16:09,558] INFO: 	 lr: 0.0005000000000000003 	 Training loss: 0.04303116288036108
[2025-04-20 13:16:24,822] INFO: Iter 2900 Summary: 
[2025-04-20 13:16:24,823] INFO: 	 lr: 0.0005000000000000003 	 Training loss: 0.04279850997030735
[2025-04-20 13:16:39,475] INFO: Iter 3000 Summary: 
[2025-04-20 13:16:39,475] INFO: 	 lr: 0.0005000000000000003 	 Training loss: 0.04295103222131729
[2025-04-20 13:16:54,113] INFO: Iter 3100 Summary: 
[2025-04-20 13:16:54,114] INFO: 	 lr: 0.0005000000000000003 	 Training loss: 0.04295148245990276
[2025-04-20 13:17:08,865] INFO: Iter 3200 Summary: 
[2025-04-20 13:17:08,865] INFO: 	 lr: 0.0005000000000000003 	 Training loss: 0.042621956542134284
[2025-04-20 13:17:23,237] INFO: Iter 3300 Summary: 
[2025-04-20 13:17:23,238] INFO: 	 lr: 0.0005000000000000003 	 Training loss: 0.042759153507649895
[2025-04-20 13:17:37,968] INFO: Iter 3400 Summary: 
[2025-04-20 13:17:37,968] INFO: 	 lr: 0.0005000000000000003 	 Training loss: 0.04283688224852085
[2025-04-20 13:17:52,885] INFO: Iter 3500 Summary: 
[2025-04-20 13:17:52,885] INFO: 	 lr: 0.0005000000000000003 	 Training loss: 0.04245753418654204
[2025-04-20 13:18:07,488] INFO: Iter 3600 Summary: 
[2025-04-20 13:18:07,488] INFO: 	 lr: 0.0005000000000000003 	 Training loss: 0.04304074168205261
[2025-04-20 13:18:22,101] INFO: Iter 3700 Summary: 
[2025-04-20 13:18:22,101] INFO: 	 lr: 0.0005000000000000003 	 Training loss: 0.04237016014754772
[2025-04-20 13:18:36,587] INFO: Iter 3800 Summary: 
[2025-04-20 13:18:36,587] INFO: 	 lr: 0.0005000000000000003 	 Training loss: 0.042392459362745286
[2025-04-20 13:18:50,409] INFO: Iter 3900 Summary: 
[2025-04-20 13:18:50,410] INFO: 	 lr: 0.0005000000000000003 	 Training loss: 0.042067374996840955
[2025-04-20 13:19:04,521] INFO: Iter 4000 Summary: 
[2025-04-20 13:19:04,522] INFO: 	 lr: 0.0005000000000000003 	 Training loss: 0.04210815452039242
[2025-04-20 13:19:17,966] INFO: Iter 4100 Summary: 
[2025-04-20 13:19:17,967] INFO: 	 lr: 0.0005000000000000003 	 Training loss: 0.041987632364034654
[2025-04-20 13:19:31,983] INFO: Iter 4200 Summary: 
[2025-04-20 13:19:31,983] INFO: 	 lr: 0.0005000000000000003 	 Training loss: 0.041945221796631814
[2025-04-20 13:19:45,346] INFO: Iter 4300 Summary: 
[2025-04-20 13:19:45,346] INFO: 	 lr: 0.0005000000000000003 	 Training loss: 0.04214028764516115
[2025-04-20 13:19:58,879] INFO: Iter 4400 Summary: 
[2025-04-20 13:19:58,879] INFO: 	 lr: 0.0005000000000000003 	 Training loss: 0.04257857538759709
[2025-04-20 13:20:12,775] INFO: Iter 4500 Summary: 
[2025-04-20 13:20:12,775] INFO: 	 lr: 0.0005000000000000003 	 Training loss: 0.04211068663746118
[2025-04-20 13:20:26,292] INFO: Iter 4600 Summary: 
[2025-04-20 13:20:26,293] INFO: 	 lr: 0.0005000000000000003 	 Training loss: 0.041710263192653654
[2025-04-20 13:20:40,886] INFO: Iter 4700 Summary: 
[2025-04-20 13:20:40,886] INFO: 	 lr: 0.0005000000000000003 	 Training loss: 0.04174602124840021
[2025-04-20 13:20:55,178] INFO: Iter 4800 Summary: 
[2025-04-20 13:20:55,178] INFO: 	 lr: 0.0005000000000000003 	 Training loss: 0.04208936735987663
[2025-04-20 13:21:08,721] INFO: Iter 4900 Summary: 
[2025-04-20 13:21:08,722] INFO: 	 lr: 0.0005000000000000003 	 Training loss: 0.04178553111851215
[2025-04-20 13:21:22,742] INFO: Iter 5000 Summary: 
[2025-04-20 13:21:22,742] INFO: 	 lr: 0.0005000000000000003 	 Training loss: 0.04179820165038109
[2025-04-20 13:21:36,476] INFO: Iter 5100 Summary: 
[2025-04-20 13:21:36,476] INFO: 	 lr: 0.0005000000000000003 	 Training loss: 0.04149886403232813
[2025-04-20 13:21:50,250] INFO: Iter 5200 Summary: 
[2025-04-20 13:21:50,251] INFO: 	 lr: 0.0005000000000000003 	 Training loss: 0.041834323704242705
[2025-04-20 13:22:04,256] INFO: Iter 5300 Summary: 
[2025-04-20 13:22:04,256] INFO: 	 lr: 0.0005000000000000003 	 Training loss: 0.04176810096949339
[2025-04-20 13:22:18,772] INFO: Iter 5400 Summary: 
[2025-04-20 13:22:18,773] INFO: 	 lr: 0.0005000000000000003 	 Training loss: 0.0414499918371439
[2025-04-20 13:22:33,550] INFO: Iter 5500 Summary: 
[2025-04-20 13:22:33,550] INFO: 	 lr: 0.0005000000000000003 	 Training loss: 0.041460131257772447
[2025-04-20 13:22:47,148] INFO: Iter 5600 Summary: 
[2025-04-20 13:22:47,149] INFO: 	 lr: 0.0005000000000000003 	 Training loss: 0.04151065748184919
[2025-04-20 13:23:01,113] INFO: Iter 5700 Summary: 
[2025-04-20 13:23:01,114] INFO: 	 lr: 0.0005000000000000003 	 Training loss: 0.04110155828297138
[2025-04-20 13:23:15,445] INFO: Iter 5800 Summary: 
[2025-04-20 13:23:15,445] INFO: 	 lr: 0.0005000000000000003 	 Training loss: 0.04146957132965326
[2025-04-20 13:23:30,046] INFO: Iter 5900 Summary: 
[2025-04-20 13:23:30,046] INFO: 	 lr: 0.0005000000000000003 	 Training loss: 0.04163762934505939
[2025-04-20 13:23:44,300] INFO: Iter 6000 Summary: 
[2025-04-20 13:23:44,301] INFO: 	 lr: 0.0005000000000000003 	 Training loss: 0.04120898462831974
[2025-04-20 13:23:58,306] INFO: Iter 6100 Summary: 
[2025-04-20 13:23:58,306] INFO: 	 lr: 0.0005000000000000003 	 Training loss: 0.04119308102875948
[2025-04-20 13:24:12,341] INFO: Iter 6200 Summary: 
[2025-04-20 13:24:12,342] INFO: 	 lr: 0.0005000000000000003 	 Training loss: 0.041338246464729306
[2025-04-20 13:24:27,219] INFO: Iter 6300 Summary: 
[2025-04-20 13:24:27,220] INFO: 	 lr: 0.0005000000000000003 	 Training loss: 0.04121243931353092
[2025-04-20 13:24:41,230] INFO: Iter 6400 Summary: 
[2025-04-20 13:24:41,231] INFO: 	 lr: 0.0005000000000000003 	 Training loss: 0.04133907601237297
[2025-04-20 13:24:55,054] INFO: Iter 6500 Summary: 
[2025-04-20 13:24:55,055] INFO: 	 lr: 0.0005000000000000003 	 Training loss: 0.040834919176995756
[2025-04-20 13:25:09,018] INFO: Iter 6600 Summary: 
[2025-04-20 13:25:09,018] INFO: 	 lr: 0.0005000000000000003 	 Training loss: 0.04130788866430521
[2025-04-20 13:25:23,192] INFO: Iter 6700 Summary: 
[2025-04-20 13:25:23,193] INFO: 	 lr: 0.0005000000000000003 	 Training loss: 0.04129688948392868
[2025-04-20 13:25:36,955] INFO: Iter 6800 Summary: 
[2025-04-20 13:25:36,955] INFO: 	 lr: 0.0005000000000000003 	 Training loss: 0.04123593896627426
[2025-04-20 13:25:50,692] INFO: Iter 6900 Summary: 
[2025-04-20 13:25:50,693] INFO: 	 lr: 0.0005000000000000003 	 Training loss: 0.04060921471565962
[2025-04-20 13:26:04,406] INFO: Iter 7000 Summary: 
[2025-04-20 13:26:04,406] INFO: 	 lr: 0.0005000000000000003 	 Training loss: 0.041047218330204485
[2025-04-20 13:26:17,734] INFO: Iter 7100 Summary: 
[2025-04-20 13:26:17,735] INFO: 	 lr: 0.0005000000000000003 	 Training loss: 0.04076585076749325
[2025-04-20 13:26:30,822] INFO: Iter 7200 Summary: 
[2025-04-20 13:26:30,823] INFO: 	 lr: 0.0005000000000000003 	 Training loss: 0.04099242385476828
[2025-04-20 13:26:43,955] INFO: Iter 7300 Summary: 
[2025-04-20 13:26:43,956] INFO: 	 lr: 0.0005000000000000003 	 Training loss: 0.041003912910819056
[2025-04-20 13:26:57,509] INFO: Iter 7400 Summary: 
[2025-04-20 13:26:57,509] INFO: 	 lr: 0.0005000000000000003 	 Training loss: 0.040608766637742516
[2025-04-20 13:27:11,519] INFO: Iter 7500 Summary: 
[2025-04-20 13:27:11,520] INFO: 	 lr: 0.0005000000000000003 	 Training loss: 0.04096369761973619
[2025-04-20 13:27:25,033] INFO: Iter 7600 Summary: 
[2025-04-20 13:27:25,034] INFO: 	 lr: 0.0005000000000000003 	 Training loss: 0.040655809044837954
[2025-04-20 13:27:38,608] INFO: Iter 7700 Summary: 
[2025-04-20 13:27:38,608] INFO: 	 lr: 0.0005000000000000003 	 Training loss: 0.04071198560297489
[2025-04-20 13:27:52,695] INFO: Iter 7800 Summary: 
[2025-04-20 13:27:52,695] INFO: 	 lr: 0.0005000000000000003 	 Training loss: 0.0407345949485898
[2025-04-20 13:28:06,408] INFO: Iter 7900 Summary: 
[2025-04-20 13:28:06,408] INFO: 	 lr: 0.0005000000000000003 	 Training loss: 0.041143262796103953
[2025-04-20 13:28:20,550] INFO: Iter 8000 Summary: 
[2025-04-20 13:28:20,550] INFO: 	 lr: 0.0005000000000000003 	 Training loss: 0.04061075169593096
[2025-04-20 13:28:34,526] INFO: Iter 8100 Summary: 
[2025-04-20 13:28:34,526] INFO: 	 lr: 0.0005000000000000003 	 Training loss: 0.04072725635021925
[2025-04-20 13:28:47,881] INFO: Iter 8200 Summary: 
[2025-04-20 13:28:47,882] INFO: 	 lr: 0.0005000000000000003 	 Training loss: 0.04054871514439583
[2025-04-20 13:29:01,937] INFO: Iter 8300 Summary: 
[2025-04-20 13:29:01,938] INFO: 	 lr: 0.0005000000000000003 	 Training loss: 0.04094602424651384
[2025-04-20 13:29:15,674] INFO: Iter 8400 Summary: 
[2025-04-20 13:29:15,674] INFO: 	 lr: 0.0005000000000000003 	 Training loss: 0.04075176402926445
[2025-04-20 13:29:29,033] INFO: Iter 8500 Summary: 
[2025-04-20 13:29:29,034] INFO: 	 lr: 0.0005000000000000003 	 Training loss: 0.04058001291006803
[2025-04-20 13:29:43,011] INFO: Iter 8600 Summary: 
[2025-04-20 13:29:43,012] INFO: 	 lr: 0.0005000000000000003 	 Training loss: 0.04094917193055153
[2025-04-20 13:29:57,088] INFO: Iter 8700 Summary: 
[2025-04-20 13:29:57,088] INFO: 	 lr: 0.0005000000000000003 	 Training loss: 0.04066363979130983
[2025-04-20 13:30:10,769] INFO: Iter 8800 Summary: 
[2025-04-20 13:30:10,770] INFO: 	 lr: 0.0005000000000000003 	 Training loss: 0.04080743782222271
[2025-04-20 13:30:25,850] INFO: Iter 8900 Summary: 
[2025-04-20 13:30:25,851] INFO: 	 lr: 0.0005000000000000003 	 Training loss: 0.04062106590718031
[2025-04-20 13:30:40,061] INFO: Iter 9000 Summary: 
[2025-04-20 13:30:40,062] INFO: 	 lr: 0.0005000000000000003 	 Training loss: 0.040489840433001516
[2025-04-20 13:30:54,383] INFO: Iter 9100 Summary: 
[2025-04-20 13:30:54,384] INFO: 	 lr: 0.0005000000000000003 	 Training loss: 0.040471610613167286
[2025-04-20 13:31:08,222] INFO: Iter 9200 Summary: 
[2025-04-20 13:31:08,222] INFO: 	 lr: 0.0005000000000000003 	 Training loss: 0.04062826544046402
[2025-04-20 13:31:21,842] INFO: Iter 9300 Summary: 
[2025-04-20 13:31:21,843] INFO: 	 lr: 0.0005000000000000003 	 Training loss: 0.04052745938301086
[2025-04-20 13:31:35,878] INFO: Iter 9400 Summary: 
[2025-04-20 13:31:35,879] INFO: 	 lr: 0.0005000000000000003 	 Training loss: 0.04038071528077126
[2025-04-20 13:31:48,962] INFO: Iter 9500 Summary: 
[2025-04-20 13:31:48,963] INFO: 	 lr: 0.0005000000000000003 	 Training loss: 0.040125456638634205
[2025-04-20 13:32:02,548] INFO: Iter 9600 Summary: 
[2025-04-20 13:32:02,549] INFO: 	 lr: 0.0005000000000000003 	 Training loss: 0.04076199132949114
[2025-04-20 13:32:16,345] INFO: Iter 9700 Summary: 
[2025-04-20 13:32:16,346] INFO: 	 lr: 0.0005000000000000003 	 Training loss: 0.04068025648593902
[2025-04-20 13:32:30,137] INFO: Iter 9800 Summary: 
[2025-04-20 13:32:30,137] INFO: 	 lr: 0.0005000000000000003 	 Training loss: 0.04052594833076
[2025-04-20 13:32:44,271] INFO: Iter 9900 Summary: 
[2025-04-20 13:32:44,272] INFO: 	 lr: 0.0005000000000000003 	 Training loss: 0.0400867049023509
[2025-04-20 13:32:58,594] INFO: Iter 10000 Summary: 
[2025-04-20 13:32:58,594] INFO: 	 lr: 0.0005000000000000003 	 Training loss: 0.04016011200845242
[2025-04-20 13:33:12,510] INFO: Iter 10100 Summary: 
[2025-04-20 13:33:12,511] INFO: 	 lr: 0.0005000000000000003 	 Training loss: 0.040003989338874814
[2025-04-20 13:33:26,568] INFO: Iter 10200 Summary: 
[2025-04-20 13:33:26,569] INFO: 	 lr: 0.0005000000000000003 	 Training loss: 0.04026055477559567
[2025-04-20 13:33:41,010] INFO: Iter 10300 Summary: 
[2025-04-20 13:33:41,010] INFO: 	 lr: 0.0005000000000000003 	 Training loss: 0.04041640534996986
[2025-04-20 13:33:55,745] INFO: Iter 10400 Summary: 
[2025-04-20 13:33:55,745] INFO: 	 lr: 0.0005000000000000003 	 Training loss: 0.04045710943639278
[2025-04-20 13:34:10,589] INFO: Iter 10500 Summary: 
[2025-04-20 13:34:10,590] INFO: 	 lr: 0.0005000000000000003 	 Training loss: 0.04003234501928091
[2025-04-20 13:34:25,593] INFO: Iter 10600 Summary: 
[2025-04-20 13:34:25,594] INFO: 	 lr: 0.0005000000000000003 	 Training loss: 0.04026146739721298
[2025-04-20 13:34:39,969] INFO: Iter 10700 Summary: 
[2025-04-20 13:34:39,969] INFO: 	 lr: 0.0005000000000000003 	 Training loss: 0.04018280241638422
[2025-04-20 13:34:54,234] INFO: Iter 10800 Summary: 
[2025-04-20 13:34:54,235] INFO: 	 lr: 0.0005000000000000003 	 Training loss: 0.040295027159154416
[2025-04-20 13:35:08,477] INFO: Iter 10900 Summary: 
[2025-04-20 13:35:08,478] INFO: 	 lr: 0.0005000000000000003 	 Training loss: 0.03997700735926628
[2025-04-20 13:35:22,641] INFO: Iter 11000 Summary: 
[2025-04-20 13:35:22,641] INFO: 	 lr: 0.0005000000000000003 	 Training loss: 0.0405550866574049
[2025-04-20 13:35:36,595] INFO: Iter 11100 Summary: 
[2025-04-20 13:35:36,595] INFO: 	 lr: 0.0005000000000000003 	 Training loss: 0.039975516721606257
[2025-04-20 13:35:50,822] INFO: Iter 11200 Summary: 
[2025-04-20 13:35:50,822] INFO: 	 lr: 0.0005000000000000003 	 Training loss: 0.040063754990696906
[2025-04-20 13:36:05,403] INFO: Iter 11300 Summary: 
[2025-04-20 13:36:05,404] INFO: 	 lr: 0.0005000000000000003 	 Training loss: 0.040443326756358144
[2025-04-20 13:36:19,622] INFO: Iter 11400 Summary: 
[2025-04-20 13:36:19,622] INFO: 	 lr: 0.0005000000000000003 	 Training loss: 0.04003807693719864
[2025-04-20 13:36:34,386] INFO: Iter 11500 Summary: 
[2025-04-20 13:36:34,386] INFO: 	 lr: 0.0005000000000000003 	 Training loss: 0.04003100726753473
[2025-04-20 13:36:48,429] INFO: Iter 11600 Summary: 
[2025-04-20 13:36:48,429] INFO: 	 lr: 0.0005000000000000003 	 Training loss: 0.040231410413980484
[2025-04-20 13:37:02,201] INFO: Iter 11700 Summary: 
[2025-04-20 13:37:02,201] INFO: 	 lr: 0.0005000000000000003 	 Training loss: 0.040154614448547364
[2025-04-20 13:37:16,248] INFO: Iter 11800 Summary: 
[2025-04-20 13:37:16,249] INFO: 	 lr: 0.0005000000000000003 	 Training loss: 0.04005225267261267
[2025-04-20 13:37:30,745] INFO: Iter 11900 Summary: 
[2025-04-20 13:37:30,746] INFO: 	 lr: 0.0005000000000000003 	 Training loss: 0.04008708830922842
[2025-04-20 13:37:45,363] INFO: Iter 12000 Summary: 
[2025-04-20 13:37:45,363] INFO: 	 lr: 0.0005000000000000003 	 Training loss: 0.03955223761498928
[2025-04-20 13:37:59,225] INFO: Iter 12100 Summary: 
[2025-04-20 13:37:59,226] INFO: 	 lr: 0.0005000000000000003 	 Training loss: 0.04007445011287927
[2025-04-20 13:38:13,833] INFO: Iter 12200 Summary: 
[2025-04-20 13:38:13,834] INFO: 	 lr: 0.0005000000000000003 	 Training loss: 0.03986736960709095
[2025-04-20 13:38:28,226] INFO: Iter 12300 Summary: 
[2025-04-20 13:38:28,227] INFO: 	 lr: 0.0005000000000000003 	 Training loss: 0.040146676786243916
[2025-04-20 13:38:42,204] INFO: Iter 12400 Summary: 
[2025-04-20 13:38:42,205] INFO: 	 lr: 0.0005000000000000003 	 Training loss: 0.04017743993550539
[2025-04-20 13:38:55,963] INFO: Iter 12500 Summary: 
[2025-04-20 13:38:55,964] INFO: 	 lr: 0.0005000000000000003 	 Training loss: 0.04019844923168421
[2025-04-20 13:39:10,160] INFO: Iter 12600 Summary: 
[2025-04-20 13:39:10,161] INFO: 	 lr: 0.0005000000000000003 	 Training loss: 0.03985648531466723
[2025-04-20 13:39:23,763] INFO: Iter 12700 Summary: 
[2025-04-20 13:39:23,763] INFO: 	 lr: 0.0005000000000000003 	 Training loss: 0.03970672175288201
[2025-04-20 13:39:37,922] INFO: Iter 12800 Summary: 
[2025-04-20 13:39:37,922] INFO: 	 lr: 0.0005000000000000003 	 Training loss: 0.0402726436778903
[2025-04-20 13:39:52,273] INFO: Iter 12900 Summary: 
[2025-04-20 13:39:52,273] INFO: 	 lr: 0.0005000000000000003 	 Training loss: 0.03968645025044679
[2025-04-20 13:40:06,646] INFO: Iter 13000 Summary: 
[2025-04-20 13:40:06,647] INFO: 	 lr: 0.0005000000000000003 	 Training loss: 0.03985789854079485
[2025-04-20 13:40:21,098] INFO: Iter 13100 Summary: 
[2025-04-20 13:40:21,099] INFO: 	 lr: 0.0005000000000000003 	 Training loss: 0.03950278423726559
[2025-04-20 13:40:35,230] INFO: Iter 13200 Summary: 
[2025-04-20 13:40:35,230] INFO: 	 lr: 0.0005000000000000003 	 Training loss: 0.0400179810449481
[2025-04-20 13:40:49,774] INFO: Iter 13300 Summary: 
[2025-04-20 13:40:49,774] INFO: 	 lr: 0.0005000000000000003 	 Training loss: 0.03978332672268152
[2025-04-20 13:41:03,806] INFO: Iter 13400 Summary: 
[2025-04-20 13:41:03,806] INFO: 	 lr: 0.0005000000000000003 	 Training loss: 0.03996791634708643
[2025-04-20 13:41:18,252] INFO: Iter 13500 Summary: 
[2025-04-20 13:41:18,252] INFO: 	 lr: 0.0005000000000000003 	 Training loss: 0.04017122108489275
[2025-04-20 13:41:32,105] INFO: Iter 13600 Summary: 
[2025-04-20 13:41:32,105] INFO: 	 lr: 0.0005000000000000003 	 Training loss: 0.039857085794210434
[2025-04-20 13:41:45,743] INFO: Iter 13700 Summary: 
[2025-04-20 13:41:45,743] INFO: 	 lr: 0.0005000000000000003 	 Training loss: 0.03991664830595255
[2025-04-20 13:42:00,087] INFO: Iter 13800 Summary: 
